alpha,E_avg,E_per_spin,M_avg_abs,M_per_spin,Cv_per_spin,chi_per_spin,acceptance_ratio
1,-3195.46,-1.99716,1598.84,0.999276,0.023327,0.00156928,0.000738978
1.01,-3195.07,-1.99692,1598.74,0.999213,0.0248022,0.00168769,0.000868398
1.02,-3194.68,-1.99667,1598.64,0.99915,0.0262671,0.00181101,0.000867761
1.03,-3194.18,-1.99636,1598.51,0.99907,0.0284185,0.00198466,0.000946011
1.04,-3193.74,-1.99609,1598.4,0.998998,0.0302089,0.00213946,0.00115742
1.05,-3193.23,-1.99577,1598.26,0.998915,0.0318611,0.00228755,0.00109813
1.06,-3192.72,-1.99545,1598.13,0.998833,0.0336893,0.00244703,0.00117859
1.07,-3192.24,-1.99515,1598.01,0.998754,0.0351419,0.00258959,0.00155152
1.08,-3191.64,-1.99477,1597.85,0.998657,0.0369873,0.00275479,0.00196389
1.09,-3191.01,-1.99438,1597.69,0.998555,0.0391164,0.00295385,0.00146364
1.1,-3190.33,-1.99396,1597.51,0.998443,0.0414735,0.00317911,0.00157214
1.11,-3189.71,-1.99357,1597.35,0.998342,0.0435438,0.00337613,0.00236333
1.12,-3188.94,-1.99309,1597.15,0.998217,0.0461969,0.00362752,0.00289318
1.13,-3188.15,-1.9926,1596.94,0.998086,0.0487114,0.00388524,0.0019228
1.14,-3187.4,-1.99212,1596.74,0.997962,0.050745,0.00409704,0.00205273
1.15,-3186.6,-1.99163,1596.53,0.997831,0.0531116,0.0043436,0.00219505
1.16,-3185.66,-1.99104,1596.28,0.997673,0.0559315,0.00465852,0.00233621
1.17,-3184.76,-1.99047,1596.04,0.997525,0.0588381,0.0049534,0.00457903
1.18,-3183.8,-1.98988,1595.79,0.997366,0.0616232,0.00525469,0.0026436
1.19,-3182.86,-1.98929,1595.53,0.997209,0.0638922,0.00551643,0.00281845
1.2,-3181.75,-1.98859,1595.24,0.997025,0.0673356,0.00589729,0.00299938
1.21,-3180.59,-1.98787,1594.93,0.996831,0.0704465,0.0062582,0.0031812
1.22,-3179.57,-1.98723,1594.66,0.996661,0.0727543,0.00654741,0.00366075
1.23,-3178.3,-1.98644,1594.31,0.996447,0.0763341,0.00698174,0.00357504
1.24,-3177.09,-1.98568,1593.99,0.996244,0.0796548,0.00736507,0.00376984
1.25,-3175.74,-1.98484,1593.63,0.996019,0.0834312,0.0078061,0.00401849
1.26,-3174.53,-1.98408,1593.3,0.995812,0.0863369,0.00818905,0.00422205
1.27,-3172.93,-1.98308,1592.87,0.995542,0.0901651,0.00869823,0.004685
1.28,-3171.59,-1.98224,1592.5,0.995314,0.0933909,0.00912258,0.00528974
1.29,-3169.96,-1.98122,1592.06,0.995035,0.0973657,0.00966255,0.00496473
1.3,-3168.36,-1.98022,1591.62,0.99476,0.100767,0.0101594,0.00525108
1.31,-3166.84,-1.97928,1591.21,0.994505,0.103941,0.0105667,0.00550131
1.32,-3165.07,-1.97817,1590.72,0.994198,0.108637,0.0112216,0.00580765
1.33,-3163.28,-1.97705,1590.22,0.993885,0.113377,0.0119627,0.00613529
1.34,-3161.41,-1.97588,1589.71,0.993567,0.117272,0.0124759,0.00646102
1.35,-3159.56,-1.97473,1589.19,0.993244,0.121039,0.0131405,0.00678581
1.36,-3157.53,-1.97346,1588.63,0.992894,0.125683,0.0138012,0.00711326
1.37,-3155.46,-1.97217,1588.05,0.992533,0.130073,0.0145187,0.00745578
1.38,-3153.28,-1.9708,1587.44,0.992148,0.134268,0.0152598,0.0078501
1.39,-3151.31,-1.96957,1586.89,0.991803,0.138488,0.0159158,0.0081967
1.4,-3148.97,-1.9681,1586.23,0.991393,0.144272,0.0168095,0.00908915
1.41,-3146.61,-1.96663,1585.56,0.990977,0.14854,0.0175471,0.00900336
1.42,-3144.17,-1.96511,1584.87,0.990545,0.154535,0.0185829,0.010335
1.43,-3141.56,-1.96347,1584.12,0.990078,0.158264,0.0193593,0.00987407
1.44,-3139.28,-1.96205,1583.48,0.989674,0.162711,0.0201921,0.0106937
1.45,-3136.38,-1.96024,1582.63,0.989147,0.170351,0.0215416,0.0108139
1.46,-3133.76,-1.9586,1581.89,0.98868,0.174489,0.0223749,0.0113445
1.47,-3130.74,-1.95671,1581.02,0.988137,0.179823,0.0234452,0.01183
1.48,-3127.87,-1.95492,1580.18,0.987613,0.186228,0.0247035,0.0123063
1.49,-3124.74,-1.95296,1579.26,0.98704,0.192969,0.0260489,0.0128905
1.5,-3121.76,-1.9511,1578.4,0.986498,0.196858,0.027053,0.0134313
1.51,-3118.51,-1.94907,1577.43,0.985894,0.202192,0.0282898,0.0144118
1.52,-3115.2,-1.947,1576.47,0.985292,0.20967,0.0296691,0.014785
1.53,-3111.86,-1.94492,1575.47,0.984667,0.217242,0.0313735,0.0152428
1.54,-3108.3,-1.94269,1574.41,0.984004,0.221696,0.0327176,0.0158559
1.55,-3104.81,-1.94051,1573.37,0.983358,0.228263,0.0340763,0.0164804
1.56,-3101.25,-1.93828,1572.3,0.982685,0.235411,0.0358211,0.0171616
1.57,-3097.25,-1.93578,1571.06,0.981914,0.242418,0.0378805,0.0186312
1.58,-3093.47,-1.93342,1569.93,0.981208,0.250579,0.0396538,0.0186026
1.59,-3089.24,-1.93078,1568.62,0.980386,0.253814,0.0409827,0.0196393
1.6,-3085.27,-1.9283,1567.43,0.979646,0.261435,0.0428031,0.0202269
1.61,-3080.83,-1.92552,1566.05,0.978779,0.270173,0.0451507,0.0208948
1.62,-3076.47,-1.92279,1564.69,0.977929,0.277124,0.0474955,0.0217241
1.63,-3072.12,-1.92008,1563.34,0.977085,0.283533,0.0495089,0.0225365
1.64,-3067.32,-1.91708,1561.83,0.976144,0.291689,0.0520354,0.0234198
1.65,-3062.69,-1.91418,1560.38,0.975237,0.300196,0.0543916,0.0243056
1.66,-3057.83,-1.91114,1558.86,0.974288,0.308381,0.0567303,0.0252991
1.67,-3052.81,-1.908,1557.2,0.973252,0.315648,0.0601134,0.0261976
1.68,-3047.66,-1.90478,1555.56,0.972226,0.326607,0.0630767,0.0271694
1.69,-3042.48,-1.90155,1553.88,0.971172,0.33397,0.0660799,0.0281849
1.7,-3036.94,-1.89809,1552.08,0.970048,0.342617,0.0691469,0.0293609
1.71,-3031.79,-1.89487,1550.39,0.968994,0.348131,0.0717608,0.0302549
1.72,-3025.6,-1.891,1548.32,0.967697,0.361354,0.0772984,0.0314034
1.73,-3019.98,-1.88749,1546.46,0.966538,0.368676,0.0801161,0.0324931
1.74,-3014.33,-1.88395,1544.62,0.965386,0.378436,0.08361,0.0336128
1.75,-3007.83,-1.87989,1542.36,0.963973,0.388801,0.0885812,0.0349367
1.76,-3001.53,-1.87595,1540.22,0.962637,0.396943,0.0938701,0.0361217
1.77,-2995.2,-1.872,1538.02,0.961264,0.408508,0.0985488,0.0373999
1.78,-2988.76,-1.86798,1535.87,0.959916,0.416141,0.102225,0.0386617
1.79,-2981.88,-1.86367,1533.42,0.958388,0.429066,0.108151,0.0399694
1.8,-2975.01,-1.85938,1531.03,0.956892,0.439119,0.113164,0.0413829
1.81,-2967.44,-1.85465,1528.29,0.955179,0.449832,0.120368,0.0428982
1.82,-2960.31,-1.85019,1525.72,0.953572,0.466421,0.129601,0.0446194
1.83,-2953.04,-1.84565,1523.17,0.951979,0.473354,0.13322,0.0460364
1.84,-2945.69,-1.84105,1520.45,0.950283,0.483262,0.141075,0.047416
1.85,-2937.69,-1.83606,1517.58,0.948485,0.494569,0.146194,0.0489029
1.86,-2929.56,-1.83098,1514.51,0.946568,0.508703,0.15603,0.050464
1.87,-2921.23,-1.82577,1511.31,0.944571,0.521409,0.165327,0.0522866
1.88,-2912.55,-1.82034,1508.05,0.942533,0.537484,0.175195,0.0539502
1.89,-2904.07,-1.81505,1504.81,0.940508,0.550851,0.185664,0.0558407
1.9,-2895.37,-1.80961,1501.43,0.938393,0.55887,0.19415,0.0575261
1.91,-2886.19,-1.80387,1497.81,0.936132,0.574546,0.208067,0.0594602
1.92,-2876.44,-1.79778,1493.77,0.933609,0.592797,0.231211,0.0613798
1.93,-2866.92,-1.79182,1489.83,0.931141,0.606334,0.240036,0.0634651
1.94,-2857.04,-1.78565,1485.93,0.928704,0.623522,0.255884,0.0655115
1.95,-2847.36,-1.7796,1482.02,0.926265,0.631216,0.26109,0.0676513
1.96,-2837.25,-1.77328,1477.56,0.923476,0.656263,0.293607,0.0696748
